,Title,Location,Company,Review,Summary,City,State,State Initials
0,            Jr Data Scientist,"New York, NY",        Callière Group,,"            Experience using some of the major data science tools e.g. Python (preferable), and/or R. We now have a need for junior Data Scientist(s) in the NY area (or...",New York, NY, NY
1,            Junior Data Scientist,"New York, NY",        1-800-Flowers.com,,"            As Junior Data Scientist, you will be responsible for collecting, cleaning, and extracting data from a variety of systems at 1-800-flowers with intention to run...",New York, NY, NY
2,Data Scientist,"New York, NY 10016 (Gramercy area)",        AETNA,,"            The candidate will be responsible for extracting and manipulating data from multiple, large data sources and using the data to deliver predictive model and...",New York, NY 10016 (Gramercy area), NY
3,Data Science Intern for The Weather Company,"New York, NY 10002 (Lower East Side area)",        IBM,,"            The Weather Company, an IBM Business is hiring a Data Science Intern for the B2B division, to work on interesting industry specific and/or cross-industry...",New York, NY 10002 (Lower East Side area), NY
4,"            Intern, Data Science","New York, NY 10001 (Chelsea area)",        Roku,,            Work along-side our data scientists to build models that can optimize Roku's business. Deep dive into data within the Roku platform....,New York, NY 10001 (Chelsea area), NY
5,Data Scientist - Forecasting & Optimization,"Manhattan, NY",        The Farmer's Dog,,            The Farmer's Dog is looking for a Data Scientist to join the Data Strategy & Insights team. Working with imbalanced data....,Manhattan, NY, NY
6,"            Research Analyst, People Analytics","New York, NY 10011 (Chelsea area)",        Google,,"            Experience working with and manipulating data from businesses (e.g., checking for data issues, cleaning, merging)....",New York, NY 10011 (Chelsea area), NY
7,Data Scientist - Natural Language Processing,"Manhattan, NY",        The Farmer's Dog,,            The Farmer's Dog is looking for a Data Scientist specializing in natural language processing to join the Data Strategy & Insights team....,Manhattan, NY, NY
8,"            Intern, Data Science","New York, NY 10017 (Midtown area)",        Pfizer Inc.,,"            Backend data and software engineering to build scalable solutions/algorithms, data pipelines, and helping to automate data processing challenges....",New York, NY 10017 (Midtown area), NY
9,            2019 University Graduate - Data Scientist - UberEverything (...,"New York, NY 10018 (Clinton area)",        Uber,,"            To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app...",New York, NY 10018 (Clinton area), NY
10,Data Specialist-CPO,"New York, NY 10021 (Upper East Side area)",        Weill Cornell Medicine,,"            Demonstrated ability to gather, and collate statistical and process-oriented data. Presents findings to faculty and other team members by creating appropriate visualizations of data....",New York, NY 10021 (Upper East Side area), NY
11,            Research Data Associate,"New York, NY",        NYU Langone,,"            Extracts data for publications, or provides data collection from outside physicians offices. Compiles data and assists in consolidating and analyzing data for presentation to sponsoring and regulatory...",New York, NY, NY
12,            Junior Data Scientist,"New York, NY 10036",        Viacom,,"            Efficient, automated) data analyses. Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies....",New York, NY 10036, NY
13,Data Science Intern,"Brooklyn, NY",        United Technologies Corp. Headquarters,,"            We are seeking highly motivated data scientists to join our Digital Accelerator in Brooklyn, NY. Conduct exploratory data analysis. Experience in programming, data science, machine learning....",Brooklyn, NY, NY
14,Data Science Intern,"New York, NY 10016 (Gramercy area)",        GNY Insurance Companies,,"            You will assist the Chief Actuary and Data Scientist in exploring ways to extract loss control data from our core database (ImageRight). Greater New York Mutual Insurance Company (""GNY"") is an A+...",New York, NY 10016 (Gramercy area), NY
15,Data Scientist,"New York, NY",        Civis Analytics,,            The political R&D group is seeking a Data Scientist to join our team of data scientists and strategists in New York City. Civis Analytics is looking for a Data Scientist to join its DC-based political...,New York, NY, NY
16,            Machine Learning Marketing Intern,"Brooklyn, NY",        Cloudera,,"            You’ll have a chance to work with researchers, developers, data scientists, product managers, and leaders across our business. In addition to data science, machine learning and AI, you’ll work with...",Brooklyn, NY, NY
17,Data Scientist,"New York, NY",        New York University,,            The Public Safety Lab at New York University is looking for a full-time data scientist to build and. Create and provide a data. Oversee a large-scale automated crawl of daily criminal justice data....,New York, NY, NY
18,DATA SCIENCE -INTERN,"New York, NY","        Foot Locker, Inc.",,"            Exploratory data discoveries, data science research, data mining, building data products, and communicating findings to key stakeholders. The Data Science Intern will work with leading data scientists...",New York, NY, NY
19,"Data Scientist, Redtech","New York, NY",        WeWork,,            We are seeking Data Scientists to join the Data & Analytics organization and provide insights and recommendations to drive the strategic direction for WeWork’s technology teams....,New York, NY, NY
20,Data Engineer - Data Visualization team-San Francisco,"San Francisco, CA 94105 (Financial District area)",        Uber,,"Data scientists, Product Managers, and Operations Teams around the world consume and analyze our data. The Global Data Warehouse team maintains the data objects...",San Francisco, CA 94105 (Financial District area), CA
21,Data Scientist - Matching,"San Francisco, CA 94103 (South Of Market area)",        Uber,,            We are looking for strong data and research scientists to help build the next generation of matching systems at Uber....,San Francisco, CA 94103 (South Of Market area), CA
22,Data Scientist,"San Francisco, CA",        Zignal Labs,,"            As a Data Scientist on our Labs and Data Science team, you will work on data analytics and machine learning projects and be involved in solutions from ideation...",San Francisco, CA, CA
23,            Software Engineer - Data Visualization,"San Francisco, CA 94105 (Financial District area)",        Uber,,            Develop data analytics products and advanced user interfaces for data producers and consumers across the company....,San Francisco, CA 94105 (Financial District area), CA
24,            Research Data Analyst,"San Francisco, CA",        University of California San Francisco,,"            The Research Data Analyst will be responsible for data analysis, data management, and helping to guide formation and pursuit of scientific hypotheses regarding...",San Francisco, CA, CA
25,Data Scientist,"San Francisco, CA",        Trianz,,"            As a Data Scientist at Trianz, you will be working with a variety of data sources which may include big data and utilize advanced Machine Learning techniques....",San Francisco, CA, CA
26,Data Scientist - Forecasting,"San Francisco, CA 94103 (South Of Market area)",        Uber,,"            Experience with spatial data. Data Scientists on Marketplace combine clear product vision, deep technical skills and powerful data analysis and modeling to...",San Francisco, CA 94103 (South Of Market area), CA
27,Data Scientist Intern,"San Francisco, CA",        Rally Health,,"            Leveraging data to measure and improve our offerings through metric development and instrumentation, data investigations, designing and interpreting experiments...",San Francisco, CA, CA
28,            Summer 2019 Intern - Data Science,"San Francisco, CA 94105 (Financial District area)",        Salesforce,,            Summer 2019 Intern - Data Science. Cooperate with the Sales and Marketing Data Science team to design and execute replicable data acquisition and utilization...,San Francisco, CA 94105 (Financial District area), CA
29,Data Analyst,"San Francisco, CA",        University of California San Francisco,,"            Responsibilities will include developing data collection instruments, collecting and organizing quantitative and qualitative data, training project staff to...",San Francisco, CA, CA
30,Data Scientist Intern - Summer 2019,"San Bruno, CA 94066",        Walmart Stores,,            ABOUT DATA SCIENTIST INTERNS. Data Scientist Interns work on project teams that are responsible for analyzing large data sets to develop custom models and...,San Bruno, CA 94066, CA
31,Data Scientist - Statistical Inference,"San Francisco, CA 94105 (Financial District area)",        Optimizely,,"            As a Data Scientist at Optimizely, you’ll be in charge of Stats Engine, the core statistics methodology behind all our experiments....",San Francisco, CA 94105 (Financial District area), CA
32,Data Scientist Internship,"San Bruno, CA 94066",        Walmart Stores,,"            Machine learning, algorithm, data structure. The candidate will work along side data scientists / engineers in the team to work on challenging machine learning...",San Bruno, CA 94066, CA
33,            2019 University Graduate - Data Scientist - UberEverything,"San Francisco, CA 94103 (South Of Market area)",        Uber,,"            To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app...",San Francisco, CA 94103 (South Of Market area), CA
34,Data Scientist – Intern (Summer 2019),"Redwood City, CA",        C3.ai,,"            Collaborating with data and subject matter experts from C3.ai and its customer teams to seek, understand, validate, interpret, and correctly use new data...",Redwood City, CA, CA
35,"            Analyst, Applied Data and Machine Learning","San Francisco, CA 94105 (Financial District area)",        Google,,"            Build and manage data infrastructure, ETLs, and data integrity across multiple patent workflow applications. Experience with patent data and third party vendors...",San Francisco, CA 94105 (Financial District area), CA
36,Data Scientist,"San Francisco, CA 94103 (South Of Market area)",        Twitter,,"            As a technical team member, you will work with data scientists, analysts, engineers, and product managers across multiple teams and orgs to improve overall...",San Francisco, CA 94103 (South Of Market area), CA
37,Data Scientist | Rider Growth,"San Francisco, CA 94103 (South Of Market area)",        Uber,,            The Data Scientist - Rider Growth role will provide the data expertise as we drive towards enhancing growth and deepening engagement....,San Francisco, CA 94103 (South Of Market area), CA
38,"Data Scientist, Lifecyle","San Francisco, CA",        Slack,,"            Slack is hiring experienced data scientists to join our Lifecycle team. Be an ambassador for data by improving the availability, understanding, and...",San Francisco, CA, CA
39,Data Scientist,"San Francisco Bay Area, CA",        LimeBike,,"            5+ years of industry experience as a data scientist. We are hiring Data Scientists of all stripes, including but not limited to Machine Learning Researchers /...",San Francisco Bay Area, CA, CA
40,Data Scientist (2019 Summer Intern),"Boston, MA 02210 (South Boston area)",        Rifiniti,,"            Our data scientists work closely with our software engineers as well as a growing ecosystem of business partners and customers to build leading edge technologies in big data, machine learning, real time intelligence that scale the business....",Boston, MA 02210 (South Boston area), MA
41,            Junior Data Scientist,"Boston, MA",        PIÑATA SCIENCES,,            Pinata Scienes is looking for an up and coming Data Scientist. As an energetic data scientist you will be responsible for taking in person findings and developing practical business solutions for our clients....,Boston, MA, MA
42,Data Scientist - Summer Intern - University Students,"Boston, MA",        McKinsey & Company,,"            You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets. Data Scientists are staffed on engagements or product teams and are expected to...",Boston, MA, MA
43,Data Scientist Intern,"Boston, MA",        KAYAK,,"            KAYAK is looking for people who love working with data - parsing, analyzing, investigating, interpreting, modeling, and extracting knowledge from large volumes of data. Basic knowledge of data structures, algorithms, and statistics....",Boston, MA, MA
44,Data Scientist,"Boston, MA 02298 (Central area)",        Massachusetts General Hospital,,            We are looking for data scientists with good background in math/computer science/engineering/statistics to design and implement new data exploration techniques for real healthcare environments....,Boston, MA 02298 (Central area), MA
45,Data Analyst,"Boston, MA",        Asics Digital,,"            This individual will work with a team of Analysts and Data Scientists responsible for delivering advanced analytics solutions and business intelligence. The analyst will work with key stakeholders to understand their data needs, analyze the...",Boston, MA, MA
46,            Advanced Analytics Intern (May - August 2019),"Boston, MA 02116 (South End area)",        Manulife,,"            Work with Data Scientists to transform business requests into value add deliverables including data mapping, data aggregation, data cleansing & other data-related processes. Support researching data structure and/or data content issues and...",Boston, MA 02116 (South End area), MA
47,Data Scientist – Personalization,"Boston, MA",        Spotify,,"            Mentor and coach other data scientists. This role works closely with a multidisciplinary team of data scientist, user researchers, data engineers, product teams and designers. We are seeking a Data Scientist to join our Product Insights...",Boston, MA, MA
48,            Associate Data Scientist,"Cambridge, MA 02142 (East Cambridge area)",        Biogen,,"            Biogen is looking for a Associate Data Scientist to join our Data Science team in the Global Data and Analytics Center of Excellence within our commercial operations. As a member of the Data Science team, you will be tasked with weaving...",Cambridge, MA 02142 (East Cambridge area), MA
49,Data Scientist - Inference,"Needham, MA 02494",        TripAdvisor,,"            As a Data Scientist focusing on Inference, you will be responsible for developing and implementing best practices in the design of experiments, A/B testing, the analysis of observational data, panel data analysis, time-series modeling, and...",Needham, MA 02494, MA
50,Data Scientist,"Wellesley, MA",        AETNA,,"            Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources. Aetna takes our candidates's data privacy seriously. Use strong programming skills to explore, examine and interpret large...",Wellesley, MA, MA
51,Data Scientist - Summer Intern - University Students,"Boston, MA",        McKinsey & Company,,"            You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets. Data Scientists are staffed on engagements or product teams and are expected to...",Boston, MA, MA
52,Data Wrangler (Data Management Analyst),"Boston, MA",        Bose,,"            Gather data sets requirements from data analysts, data scientists and data stewards, design and deliver datasets from various databases platforms and data files formats. Perform data profiling, data quality assessment, data sources...",Boston, MA, MA
53,Data Scientist Intern,"Boston, MA",        KAYAK,,"            KAYAK is looking for people who love working with data - parsing, analyzing, investigating, interpreting, modeling, and extracting knowledge from large volumes of data. Basic knowledge of data structures, algorithms, and statistics....",Boston, MA, MA
54,            Senior Data Scientist,"Needham, MA 02494",        TripAdvisor,,"            Proficiency in data transformation, cleansing and interpretation. A results-oriented person who thrives on data and measurements. Expert SQL skills and experience with Big Data stack (Hadoop/Hive/Pig/Spark/etc.)....",Needham, MA 02494, MA
55,Data Scientist,"Boston, MA",        Adobe,,"            Familiarity with big data platforms such as Hadoop. Understand, monitor, QA and collaborate with business stakeholders to ensure on-going data quality. A strong proficiency in querying and manipulating large data sets for analytical...",Boston, MA, MA
56,            Research Data Scientist,"Cambridge, MA","        Amazon.com Services, Inc.",,"            As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models. Ensure data quality throughout all stages of acquisition and processing, including such...",Cambridge, MA, MA
57,Data Scientist,"Boston, MA","        Press Ganey Associates, Inc.",,"            We have an opening for a data geek (statistician, data scientist, economist, etc.). Press Ganey - a mission driven healthcare data and services company - is looking for an energetic, creative and curious data scientist to join its Data...",Boston, MA, MA
58,Data Scientist – Data Connector,"Cambridge, MA",        Novartis,,"            The amount of time the average data scientist spends preparing data. If you are a versatile data scientist who enjoys casting problems into generic computational solutions to catalyze efficiencies in data-driven drug discovery, this is for...",Cambridge, MA, MA
59,Data Engineer,"Boston, MA 02116 (South End area)",        Manulife,,"            Experience developing data integrations for data ingestion, data mapping and data processing capabilities. Partnering with data scientist to understand business objective and applying deep understanding of John Hancock data to identify data...",Boston, MA 02116 (South End area), MA
